author,comments,content,date,score,title,url
energyaxd,,"作者energyaxd (君)

看板Gossiping

標題[問卦]砒霜毒殺怎麼不放杏仁裡面？

時間Mon Aug 31 14:45:56 2020

如題 看很多劇都有類似情節 偵探:這水（或食物）中有淡淡的杏仁味 這並非一般自然死亡 這是謀殺！ 啊我就想啊 如果今天在杏仁茶 或杏仁口味的食物裡面放砒霜
是不是就沒事了 有掛嗎？ \----- Sent from JPTT on my iPhone \-- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自:
49.216.74.91 (臺灣) ※ 文章網址:
https://www.ptt.cc/bbs/Gossiping/M.1598856358.A.4B3.html

",2020-08-31 14:45:56,0,[問卦]砒霜毒殺怎麼不放杏仁裡面？,https://www.ptt.cc/bbs/Gossiping/M.1598856358.A.4B3.html
Matsuyama,,"作者Matsuyama (Matsuyama)

看板Gossiping

標題[新聞] 鍾佳濱：民進黨對美豬進口立場前後一致

時間Mon Aug 31 14:45:16 2020

1.媒體來源:中央社 2.記者署名:記者王揚宇 台北31日電 3.完整新聞標題: ※ 標題沒有完整寫出來 ---> 依照板規刪除文章
鍾佳濱：民進黨對美豬進口立場前後一致 4.完整新聞內文: ※ 社論特稿都不能貼！違者刪除（政治類水桶3個月)，貼廣告也會被刪除喔！可詳看版規
總統蔡英文總統日前宣布放寬美牛美豬進口，外界質疑這與民進黨過去的主張不同。來自屏
東的民進黨立委鍾佳濱今天受訪說，2012年已公布萊克多巴胺的容許值，民進黨立場前後一 致，就是必須符合國際標準、要有科學根據。
蔡總統日前宣布，訂定進口豬肉萊克多巴胺（瘦肉精）的安全容許值，開放美國豬肉以及30
月齡以上的美國牛肉進口。農委會表示，已把預告公文送到行政院，農委會和衛福部用相關 行政辦法即可執行，不涉及修法，將在明年1月1日生效。
民進黨立法院黨團書記長鍾佳濱今天在立法院接受媒體記者訪問，有關外界質疑民進黨對美
豬議題立場改變的說法，鍾佳濱指出，「明朝的劍不能斬清朝的官」，2012年7月已經公布
萊克多巴胺的容許值，民進黨的立場就是，必須符合國際標準、要有科學根據，民進黨是前 後一致的，倒是國民黨有什麼不一樣，歡迎大家共同來討論。
媒體追問鍾佳濱，是否有豬農跟他抗議；鍾佳濱指出，沒有，而且豬農也清楚，台灣豬不怕 美國豬，要拚來拚，因為國內豬肉市場9成由國內豬農供應。
鍾佳濱強調，豬農最在意的是，就是要能標示清楚，絕對不能讓美國豬肉來模仿台灣豬肉，
因此希望未來在各類肉品加工市場上，豬肉原料一定要清楚標示來源地，零售市場上的產品 ，也要告訴消費者，是否是台灣豬肉做的。
對於國民黨執政縣市要求萊克多巴胺必須零檢出；鍾佳濱指出，明朝的劍不能斬清朝的官，
到明年1月1日之前，中央目前訂定的法規，國內仍然禁用萊克多巴胺，輸入台灣的豬肉也不 能含有萊克多巴胺，所以各地方政府的自治條例，目前與中央規範是一致的。
鍾佳濱說，但未來中央法規如果改變，因為中央法規有一定強制力，地方自治條例不能與中
央法規牴觸，所以當中央法規已經做調整，但地方法規沒有跟著改，若產生疑義時就交由內
政部處理，一國是不能兩制的，地方政府可以去做區隔，若是要明文禁止恐怕是於法不合。
鍾佳濱也說，如果大家認為要將國產各項農產品等，列為學校衛生法中，學校膳食的優先採
購對象，文字上都歡迎討論，但不要說開放萊克多巴胺的容許值會損及國人健康。（編輯： 郭無患） 5.完整新聞連結 (或短網址): ※
當新聞連結過長時，需提供短網址方便網友點擊 https://www.cna.com.tw/news/aipl/202008310050.aspx 6.備註:
阿不是阿鍾佳濱 姑且不論民進黨之前喊的是""零檢出"" 你說2012年7月公布國際標準之後 民進黨的立場就是""與國際接軌"" 但2013年3月
你家DPP立院黨團還在喊「開放美豬 總統下台」、「全面開戰」欸 你是忘記了還是害怕想起來 \-- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自:
210.69.13.1 (臺灣) ※ 文章網址:
https://www.ptt.cc/bbs/Gossiping/M.1598856318.A.BB3.html

",2020-08-31 14:45:16,0,[新聞] 鍾佳濱：民進黨對美豬進口立場前後一致,https://www.ptt.cc/bbs/Gossiping/M.1598856318.A.BB3.html
s48692003,,"作者s48692003 (s48692003)

看板Gossiping

標題[新聞] 瘦肉精美豬縣市不同調 陳時中：別為小事

時間Mon Aug 31 14:44:57 2020

備註請放最後面 違者新聞文章刪除 1.媒體來源: ※ 例如蘋果日報、自由時報（請參考版規下方的核准媒體名單） 中央社 2.記者署名: ※
若新聞沒有記者名字或編輯名字，請勿張貼，否則會被水桶14天 ※ 外電至少要有來源或編輯 如:法新社 記者陳偉婷台北31日電 3.完整新聞標題: ※
標題沒有完整寫出來 ---> 依照板規刪除文章 瘦肉精美豬縣市不同調 陳時中：別為小事扯台灣後腿[影] 4.完整新聞內文: ※
社論特稿都不能貼！違者刪除（政治類水桶3個月)，貼廣告也會被刪除喔！可詳看版 規
開放瘦肉精美豬引發爭議。衛福部長陳時中今天說，防疫是未知風險，美豬美牛是已知風
險，雖然不好做，但用科學可努力把關，也會積極和不同看法者溝通，別為小事扯台灣後 腿。
總統蔡英文日前宣布，將訂定進口豬肉萊克多巴胺的安全容許值，開放美國豬肉以及30月 齡以上的美國牛肉進口。
衛生福利部長陳時中上午接受廣播主持人周玉蔻專訪時表示，有關開放瘦肉精美豬和放寬
牛齡，是政府政策決定跟國際接軌，不符合國際標準的要檢討，才能大步往前。衛福部在 安全方面有很大的參與決策權，縱使有經濟、外交、國際需要，還是要確保安全。
至於何時被告知相關政策；陳時中說，時序已經記不清，但是是在美國衛生部長艾薩（Al ex Azar）訪台之後，他與艾薩的交流也未談到美豬和美牛議題。
瘦肉精美豬、美牛議題以往備受爭議，今年又碰上2019冠狀病毒疾病（COVID-19，俗稱武
漢肺炎）疫情。陳時中說，這些事情各有不同困難度，防疫控制相對的挑戰性比較高，因 疫情是未知，瘦肉精美豬或放寬美牛風險是已知。
陳時中說，關鍵是怎麼用現在的方法對付已知的風險，也不是很好做，但可在科學上好好 把關。武漢肺炎是面對未知的風險，相對比較困難。
但周玉蔻說，有部分縣市首長堅持瘦肉精含量零檢出的標準，新北市長侯友宜也重申，零 檢出立場。可能又是中央、地方不同調。
陳時中表示，食安政策應由中央統一，地方政府最後審視了解應也會認同。不能扯台灣後
腿，不能讓台灣因為這樣小事情都不能走出去，「我們東西要賣出去，外面的東西不讓他
進來，這樣生意怎麼做？」放寬相關標準也不是隨便讓他進來，而是有標準，經過專家審 視是安全的才會放行，會繼續溝通。
外界也質疑民進黨政府在反對瘦肉精上前後立場不一；陳時中說，拿過去的言論檢視現在
「沒有意義」，政策與時俱進，現在證據走到哪裡，現在需要什麼，現在這樣做對不對， 「講以前都沒用」，
一點意義都沒有，因時空不一樣，要考慮這個時間點怎麼做對台灣 最有利。 有關安全的評估，陳時中說，過去限制30月齡以下美牛是防範狂牛症，但隨時空推移，過
去有問題的那些牛也早都老了。現在開放30月齡以上沒問題，根據風險評估，如果一輩子 每天全天都吃美國牛，大概就是每10億人會有1人有染病的可能性。
此外，也有風險評估報告提及，孕婦坐月子每天吃一副豬肝、豬腎風險較高；陳時中說，
這種算法不合理，豬內臟雖可進口，但因沒人要吃，都沒有進口。風險報告用極端值計算 ，如果這樣吃，身體還沒受萊克多巴胺損害，心血管也早就出問題。
縱然開放是政治決定，但陳時中說，會有科學基礎，民主社會人民做選擇。他身為政務官
，會努力溝通，把關安全，但如果要找他算帳，他也沒辦法。（編輯：張雅淨）1090831 5.完整新聞連結 (或短網址): ※
當新聞連結過長時，需提供短網址方便網友點擊 https://reurl.cc/7o39Db 6.備註: ※
一個人一天只能張貼一則新聞，被刪或自刪也算額度內，超貼者水桶，請注意 ※ 備註請勿張貼三日內新聞(包含連結、標題等) 你各位噓文就是扯臺灣後腿 \-- ※
發信站: 批踢踢實業坊(ptt.cc), 來自: 39.13.131.69 (臺灣) ※ 文章網址:
https://www.ptt.cc/bbs/Gossiping/M.1598856299.A.51F.html

",2020-08-31 14:44:57,0,[新聞] 瘦肉精美豬縣市不同調 陳時中：別為小事,https://www.ptt.cc/bbs/Gossiping/M.1598856299.A.51F.html
butten986,,"作者butten986 (白色的惡魔)

看板Gossiping

標題[問卦] 發現失蹤的女兒是白凜帶走父母會不會比較安心？

時間Mon Aug 31 14:44:55 2020

如題， 如果這次高雄失蹤的國一小妹沒有說要去賺錢， 留下的資料發現是白凜， 父母會不會比較安心一點？ \-- ※ 發信站: 批踢踢實業坊(ptt.cc),
來自: 114.137.167.104 (臺灣) ※ 文章網址:
https://www.ptt.cc/bbs/Gossiping/M.1598856297.A.5B5.html

",2020-08-31 14:44:55,0,[問卦] 發現失蹤的女兒是白凜帶走父母會不會比較安心？,https://www.ptt.cc/bbs/Gossiping/M.1598856297.A.5B5.html
viable,,"作者viable (隱士灰原I)

看板Gossiping

標題[問卦] 外省人的必要之惡都說美國的錯怎處理

時間Mon Aug 31 14:44:53 2020

以前剽竊我研究的教授事前就表示 那是美國導致他如此的 對此 要覺得美國倒楣被污衊還不知道 還是確實等於研究被美國剽竊 依照外省人和美國人的習性拿一個是事實?
雖然是本省小開追不到故意搞排擠 才研究被大膽剽竊 反正沒人相信正妹自己做得出什麼厲害的研究 如題 如何看待? \-- ※ 發信站:
批踢踢實業坊(ptt.cc), 來自: 101.136.66.87 (臺灣) ※ 文章網址:
https://www.ptt.cc/bbs/Gossiping/M.1598856295.A.D95.html

",2020-08-31 14:44:53,0,[問卦] 外省人的必要之惡都說美國的錯怎處理,https://www.ptt.cc/bbs/Gossiping/M.1598856295.A.D95.html
h965715,,"作者h965715 (憂鬱小魚)

看板Gossiping

標題[問卦] 路邊遇到小貓怎辦

時間Mon Aug 31 14:44:05 2020

安安我憂魚 剛剛午休出公司 在附近晃發現電線桿下面有東西在祟動 原本以為是老鼠沒想到是可愛的喵喵 請問單兵如何處理？
https://i.imgur.com/55voF6e.jpg

> \-- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.200.109.214 (臺灣) ※ 文章網址:
> https://www.ptt.cc/bbs/Gossiping/M.1598856247.A.029.html

",2020-08-31 14:44:05,0,[問卦] 路邊遇到小貓怎辦,https://www.ptt.cc/bbs/Gossiping/M.1598856247.A.029.html
felixden,,"作者felixden (cheny)

看板Gossiping

標題[問卦] 想學做菜直接去餐廳打工？

時間Mon Aug 31 14:43:54 2020

欸欸！ 4這樣的～ 本肥是個連蛋都會煎到焦的人， 原本想說去廚藝教室上課，朋友聽到後告訴我不要浪費錢， 去餐廳做個3個月就會了！？ 哇靠！
這樣本肥去餐廳不但有錢拿，還可以磨練手藝！！ 3個月出來後就可以幫學姐做愛妻便當了！？ 嘻嘻 \-- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自:
49.216.192.215 (臺灣) ※ 文章網址:
https://www.ptt.cc/bbs/Gossiping/M.1598856236.A.F74.html

",2020-08-31 14:43:54,0,[問卦] 想學做菜直接去餐廳打工？,https://www.ptt.cc/bbs/Gossiping/M.1598856236.A.F74.html
s930406,,"作者s930406 (你啊罵)

看板Gossiping

標題[問卦] 異性戀台男是不是很噁心

時間Mon Aug 31 14:42:38 2020

板上平常都說愛滋甲很可怕 可是你不跟他們有性行為 基本上也不會染病 可是異性戀台男 捷運偷拍 偷摸 圖書館射精在別人衣服上 感情不如意就殺人分屍
現在又是誘拐未成年少女 異性戀台男是不是都要預防性羈押 \-- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.250.181.240
(臺灣) ※ 文章網址: https://www.ptt.cc/bbs/Gossiping/M.1598856160.A.6AA.html

",2020-08-31 14:42:38,0,[問卦] 異性戀台男是不是很噁心,https://www.ptt.cc/bbs/Gossiping/M.1598856160.A.6AA.html
showyoulovex,,"作者showyoulovex (zombie)

看板Gossiping

標題[問卦] 養殖業（豬牛）是台灣處境的元兇嗎

時間Mon Aug 31 14:42:27 2020

政府為了要跟在野黨解釋 不能大方開放美豬美牛 真的很心疼我們的政府 認真問 養殖業是不是 台灣在國際地位低落的元兇 \-- ※ 發信站:
批踢踢實業坊(ptt.cc), 來自: 60.250.205.234 (臺灣) ※ 文章網址:
https://www.ptt.cc/bbs/Gossiping/M.1598856149.A.3D2.html

",2020-08-31 14:42:27,0,[問卦] 養殖業（豬牛）是台灣處境的元兇嗎,https://www.ptt.cc/bbs/Gossiping/M.1598856149.A.3D2.html
homerun2005,"[{'user': 'algebraic', 'content': ': 五樓肛門超醜 想看的站內', 'score': -1}, {'user': 'highyes', 'content': ': 五樓被開八門', 'score': -1}, {'user': 'lkkgotyy', 'content': ': 五樓肛門被一樓灌壞', 'score': -1}, {'user': 'qsc787044', 'content': ': 蓋', 'score': -1}, {'user': 'ilovemiao', 'content': ': 64', 'score': -1}, {'user': 'sck3612575', 'content': ': 我們訪問范冰冰', 'score': 0}, {'user': 'lkkgotyy', 'content': ': 恭喜', 'score': 0}, {'user': 'xox5678', 'content': ': 426說法', 'score': 0}, {'user': 'slovea', 'content': ': 蕩婦卡門', 'score': 0}, {'user': 'Golbeza', 'content': ': 水門案之後支那人就愛用OO門', 'score': -1}, {'user': 'RealGeforce', 'content': ': 支那人沒文化才在那邊每件事都冠上XX門', 'score': 0}]","作者homerun2005 (阿里山下智久)

看板Gossiping

標題[問卦] 為什麼醜事都跟""門""有關?

時間Mon Aug 31 14:42:11 2020

626 有玄武門之變 1972 有水門事件 1989 有天安門事件 2016 有通俄門事件 話說 八門齊開 八門遁甲 是哪八門呢? 有沒有八卦? \-- ※
發信站: 批踢踢實業坊(ptt.cc), 來自: 111.242.3.90 (臺灣) ※ 文章網址:
https://www.ptt.cc/bbs/Gossiping/M.1598856134.A.8B3.html

噓 algebraic: 五樓肛門超醜 想看的站內 08/31 14:42

噓 highyes: 五樓被開八門 08/31 14:42

噓 lkkgotyy: 五樓肛門被一樓灌壞 08/31 14:42

噓 qsc787044: 蓋 08/31 14:43

噓 ilovemiao: 64 08/31 14:43

→ sck3612575: 我們訪問范冰冰 08/31 14:43

→ lkkgotyy: 恭喜 08/31 14:44

→ xox5678: 426說法 08/31 14:45

→ slovea: 蕩婦卡門 08/31 14:49

噓 Golbeza: 水門案之後支那人就愛用OO門 08/31 14:49

→ RealGeforce: 支那人沒文化才在那邊每件事都冠上XX門 08/31 14:51

",2020-08-31 14:42:11,-6,"[問卦] 為什麼醜事都跟""門""有關?",https://www.ptt.cc/bbs/Gossiping/M.1598856134.A.8B3.html
